Player,#,Pos,HT,WT,Age,Exp,College,Team,Division,Popularity
"
Ameer Abdullah",22,RB,5-9,203,28,8,Nebraska,Raiders,,
"
Johnathan Abram",24,S,6-0,205,25,4,Mississippi State,Raiders,,
"
Davante Adams",17,WR,6-1,215,29,9,Fresno State,Raiders,,
"
Anthony Averett",29,CB,5-11,185,27,5,Alabama,Raiders,,
"
Alex Bars",64,OL,6-5,334,26,4,Notre Dame,Raiders,,
"
Jackson Barton",78,T,6-7,302,26,4,Utah,Raiders,,
"
Andrew Billings",97,DT,6-1,311,27,6,Baylor,Raiders,,
"
Brandon Bolden",34,RB,5-11,220,32,10,Mississippi,Raiders,,
"
Nick Bowers",82,TE,6-4,265,25,2,Penn State,Raiders,,
"
Jayon Brown",,LB,6-0,226,27,6,UCLA,Raiders,,
"
Vernon Butler",,DT,6-4,325,27,7,Louisiana Tech,Raiders,,
"
Daniel Carlson",2,K,6-5,215,27,5,Auburn,Raiders,,
"
Derek Carr",4,QB,6-3,210,31,9,Fresno State,Raiders,,
"
AJ Cole",6,P,6-4,220,26,4,NC State,Raiders,,
"
Lester Cotton Sr.",67,G,6-4,335,26,1,Alabama,Raiders,,
"
Maxx Crosby",98,DE,6-5,255,24,4,Eastern Michigan,Raiders,,
"
Divine Deablo",5,LB,6-3,226,23,2,Virginia Tech,Raiders,,
"
Kenyan Drake",23,RB,6-1,211,28,7,Alabama,Raiders,,
"
Bryan Edwards",89,WR,6-3,212,23,3,South Carolina,Raiders,,
"
Jermaine Eluemunor",72,OL,6-4,345,27,6,Texas A&M,Raiders,,
"
Kyler Fackrell",,LB,6-5,245,30,7,Utah State,Raiders,,
"
Clelin Ferrell",99,DE,6-4,265,24,4,Clemson,Raiders,,
"
Garrett Gilbert",,QB,6-4,221,30,4,SMU,Raiders,,
"
Tyree Gillespie",37,S,6-0,207,24,2,Missouri,Raiders,,
"
Denzelle Good",71,G,6-5,340,31,8,Mars Hill,Raiders,,
"
Hroniss Grasu",65,OL,6-3,300,30,7,Oregon,Raiders,,
"
Gerri Green",56,DE,6-4,250,26,1,Mississippi State,Raiders,,
"
Johnathan Hankins",90,DT,6-3,340,30,10,Ohio State,Raiders,,
"
Duron Harmon",,S,6-0,205,31,10,Rutgers,Raiders,,
"
Brett Heggie",62,C,6-4,310,23,1,Florida,Raiders,,
"
Nate Hobbs",39,CB,6-1,195,22,2,Illinois,Raiders,,
"
Mack Hollins",10,WR,6-4,221,28,6,North Carolina,Raiders,,
"
Jacob Hollister",,TE,6-4,245,28,6,Wyoming,Raiders,,
"
Josh Jacobs",28,RB,5-10,220,24,4,Alabama,Raiders,,
"
Andre James",68,C,6-4,300,24,4,UCLA,Raiders,,
"
Jakob Johnson",45,FB,6-3,255,27,4,Tennessee,Raiders,,
"
Tyron Johnson",,WR,6-1,193,26,3,Oklahoma State,Raiders,,
"
Chandler Jones",55,DE,6-5,260,32,11,Syracuse,Raiders,,
"
Micah Kiser",,LB,6-0,244,27,5,Virginia,Raiders,,
"
Malcolm Koonce",51,DE,6-2,250,23,2,Buffalo,Raiders,,
"
Alex Leatherwood",70,G/T,6-5,312,23,2,Alabama,Raiders,,
"
Dallin Leavitt",32,S,5-10,195,27,4,Utah State,Raiders,,
"
Cre'Von LeBlanc",3,CB,5-10,190,27,6,Florida Atlantic,Raiders,,
"
Justin March-Lillard",53,LB,6-0,222,28,7,Akron,Raiders,,
"
Jordan Meredith",61,OL,6-3,300,24,1,Western Kentucky,Raiders,,
"
Kolton Miller",74,T,6-8,325,26,5,UCLA,Raiders,,
"
Tre’von Moehrig",25,S,6-2,202,22,2,TCU,Raiders,,
"
Foster Moreau",87,TE,6-4,250,24,4,LSU,Raiders,,
"
Trayvon Mullen Jr.",27,CB,6-2,200,24,4,Clemson,Raiders,,
"
Nick Mullens",,QB,6-1,187,27,4,Southern Mississippi,Raiders,,
"
Bilal Nichols",91,DT,6-4,290,25,5,Delaware,Raiders,,
"
Brandon Parker",75,T,6-8,320,26,5,North Carolina A&T,Raiders,,
"
Kyle Peko",,DT,6-1,305,28,4,Oregon State,Raiders,,
"
Denzel Perryman",52,LB,5-11,240,29,8,Miami,Raiders,,
"
Darius Phillips",20,CB,5-10,190,26,5,Western Michigan,Raiders,,
"
Trey Ragas",36,RB,5-10,214,25,1,Louisiana,Raiders,,
"
Hunter Renfrow",13,WR,5-10,185,26,4,Clemson,Raiders,,
"
Amik Robertson",21,CB,5-8,187,23,3,Louisiana Tech,Raiders,,
"
Demarcus Robinson",,WR,6-1,202,27,7,Florida,Raiders,,
"
Kamaal Seymour",63,T,6-6,310,25,1,Rutgers,Raiders,,
"
Trent Sieg",47,LS,6-3,240,26,5,Colorado State,Raiders,,
"
John Simpson",76,G,6-4,321,24,3,Clemson,Raiders,,
"
Sutton Smith",41,FB,6-0,235,26,2,Northern Illinois,Raiders,,
"
Dillon Stoner",16,WR,6-0,194,24,2,Oklahoma State,Raiders,,
"
Roderic Teamer",33,S,6-0,205,24,3,Tulane,Raiders,,
"
DJ Turner",19,WR,5-9,206,25,1,Pittsburgh,Raiders,,
"
Kendal Vickers",95,DT,6-3,295,26,3,Tennessee,Raiders,,
"
Darren Waller",83,TE,6-6,255,29,6,Georgia Tech,Raiders,,
"
Rock Ya-Sin",26,CB,6-0,190,25,4,Temple,Raiders,,
"
McTelvin Agim",95,DL,6-3,309,24,3,Arkansas,Broncos,,
"
Calvin Anderson",76,T,6-5,300,26,4,Texas,Broncos,,
"
Quinn Bailey",75,T,6-6,323,26,1,Arizona State,Broncos,,
"
Essang Bassey",,CB,5-10,190,23,3,Wake Forest,Broncos,,
"
Andrew Beck",83,FB/TE,6-3,255,25,4,Texas,Broncos,,
"
Shaun Beyer",88,TE,6-5,248,25,1,Iowa,Broncos,,
"
Jacob Bobenmoyer",46,LS,6-2,235,24,3,Northern Colorado,Broncos,,
"
Garett Bolles",72,T,6-5,300,29,6,Utah,Broncos,,
"
Mike Boone",26,RB,5-10,206,26,5,Cincinnati,Broncos,,
"
Ben Braden",,G,6-6,329,28,3,Michigan,Broncos,,
